id,name,type,club,youth,nation,amateur,peakvalue
lev1,Lukas Hradecky,1,lev,tps,NA,NA,E
lev3,Piero Hincapie,1,lev,ind,NA,NA,G
lev4,Jonathan Tah,1,lev,hsv,NA,NA,I
lev5,Mitchell Bakker,1,lev,aja,NA,NA,E
lev6,Odilon Koussounou,1,lev,asec,NA,NA,G
lev8,Robert Andrich,1,lev,bscj,NA,NA,E
lev9,Sardar Azmoun,1,lev,sep,NA,NA,G
lev10,Kerem Demirbay,1,lev,bvbj,NA,NA,I
lev11,Nadiem Amiri,1,lev,tsgj,NA,NA,G
lev12,Edmond Tapsoba,1,lev,leix,NA,NA,I
lev14,Patrik Schick,1,lev,spra,NA,NA,J
lev17,Callum Hudson Odoi,1,lev,cfc,NA,NA,I
lev19,Moussa Diaby,1,lev,psg,NA,NA,K
lev20,Charles Aranguiz,1,lev,cob,NA,NA,E
lev21,Amine Adli,1,lev,tou,NA,NA,E
lev22,Daley Sinkgraven,1,lev,hee,NA,NA,D
lev23,Adam Hlozek,1,lev,spra,NA,NA,F
lev24,Timothy Fosu Mensah,1,lev,manu,NA,NA,C
lev25,Exequiel Palacios,1,lev,rivp,NA,NA,G
lev27,Florian Wirtz,1,lev,koej,NA,NA,L
lev30,Jeremie Frimpong,1,lev,manc,NA,NA,G
lev32,Ayman Azhil,1,lev,levj,NA,NA,A
lev38,Karim Bellarabi,1,lev,ebs,NA,NA,G
lev40,Andrey Lunev,1,lev,tor,NA,NA,E
svw1,Jiri Pavlenka,1,svw,ostr,NA,NA,E
svw3,Anthony Jung,1,svw,sgej,NA,NA,A
svw4,Niklas Stark,1,svw,fcn,NA,NA,F
svw5,Amos Pieper,1,svw,bvbj,NA,NA,C
svw6,Jens Stage,1,svw,brab,NA,NA,B
svw7,Marvin Ducksch,1,svw,bvbj,NA,NA,B
svw8,Mitchell Weiser,1,svw,koej,NA,NA,E
svw10,Leonardo Bittencourt,1,svw,cott,NA,NA,C
svw11,Niclas Fuellkrug,1,svw,svwj,NA,NA,E
svw13,Milos Veljkovic,1,svw,tot,NA,NA,E
svw17,Maximilian Philipp,1,svw,scfj,NA,NA,F
svw19,Dikeni Salifou,1,svw,fcaj,NA,NA,A
svw20,Romano Schmid,1,svw,graz,NA,NA,B
svw21,Eren Dinkci,1,svw,svwj,NA,NA,A
svw22,Niklas Schmidt,1,svw,svwj,NA,NA,A
svw26,Lee Buchanan,1,svw,der,NA,NA,B
svw27,Felix Agu,1,svw,osna,NA,NA,A
svw28,Ilia Gruev,1,svw,svwj,NA,NA,B
svw30,Michael Zetterer,1,svw,uha,NA,NA,A
svw32,Marco Friedl,1,svw,fcbj,NA,NA,C
svw34,Jean Manuel Mbom,1,svw,svwj,NA,NA,B
svw36,Christian Gross,1,svw,hsv,NA,NA,A
svw39,Fabio Chiarodia,1,svw,svwj,NA,NA,A
koe1,Timo Horn,1,koe,koej,NA,NA,E
koe2,Benno Schmitz,1,koe,fcbj,NA,NA,B
koe3,Kristian Pedersen,1,koe,beif,NA,NA,B
koe4,Timo Huebers,1,koe,han,NA,NA,C
koe5,Nikola Soldo,1,koe,zapr,NA,NA,A
koe6,Eric Martel,1,koe,rblj,NA,NA,B
koe7,Dejan Ljubicic,1,koe,rwie,NA,NA,D
koe8,Denis Huseinbasic,1,koe,off,NA,NA,A
koe9,Sebastian Andersson,1,koe,ange,NA,NA,C
koe11,Florian Kainz,1,koe,graz,NA,NA,B
koe13,Marc Uth,1,koe,koej,NA,NA,G
koe14,Jonas Hector,1,koe,auer,NA,NA,F
koe15,Luca Kilian,1,koe,bvbj,NA,NA,B
koe17,Kingsley Schindler,1,koe,han,NA,NA,B
koe19,Dimitrios Limnios,1,koe,atro,NA,NA,B
koe20,Marvin Schwaebe,1,koe,sgej,NA,NA,B
koe21,Steffen Tigges,1,koe,osna,NA,NA,B
koe23,Sargis Adamyan,1,koe,hro,NA,NA,B
koe24,Julian Chabot,1,koe,rblj,NA,NA,A
koe25,Tim Lemperle,1,koe,koej,NA,NA,A
koe27,Davie Selke,1,koe,svwj,NA,NA,F
koe28,Ellyes Skhiri,1,koe,mont,NA,NA,E
koe29,Jan Thielmann,1,koe,koej,NA,NA,D
koe33,Florian Dietz,1,koe,czj,NA,NA,A
koe37,Linton Mai,1,koe,han,NA,NA,D
koe47,Mathias Olesen,1,koe,koej,NA,NA,A
koe48,Justin Diehl,1,koe,koej,NA,NA,A
fsv1,Finn Dahmen,1,fsv,fsvj,NA,NA,A
fsv3,Aaron Martin,1,fsv,espb,NA,NA,F
fsv4,Aymen Barkok,1,fsv,sgej,NA,NA,B
fsv5,Maxim Leitsch,1,fsv,bocj,NA,NA,B
fsv6,Anton Stach,1,fsv,osna,NA,NA,E
fsv7,Jae Sung Lee,1,fsv,kun,NA,NA,B
fsv8,Leandro Barreiro,1,fsv,fsvj,NA,NA,E
fsv9,Karim Onisiwo,1,fsv,twl,NA,NA,B
fsv11,Marcus Ingvartsen,1,fsv,fcno,NA,NA,B
fsv16,Stefan Bell,1,fsv,fsvj,NA,NA,C
fsv17,Ludovic Ajourque,1,fsv,asco,NA,NA,F
fsv19,Anthony Caci,1,fsv,stra,NA,NA,C
fsv20,Edmilson Fernandes,1,fsv,fcsi,NA,NA,D
fsv21,Danny da Costa,1,fsv,levj,NA,NA,E
fsv25,Andreas Hanche Olsen,1,fsv,stab,NA,NA,B
fsv27,Robin Zentner,1,fsv,fsvj,NA,NA,B
fsv29,Jonathan Burkardt,1,fsv,fsvj,NA,NA,F
fsv30,Silvan Widmer,1,fsv,aar,NA,NA,D
fsv31,Dominik Kohr,1,fsv,levj,NA,NA,D
fsv36,Marlon Mustapha,1,fsv,fsvj,NA,NA,A
fsv37,Delano Burgzorg,1,fsv,graa,NA,NA,A
fsv42,Alexander Hack,1,fsv,mu60,NA,NA,B
fsv43,Brajan Gruda,1,fsv,fsvj,NA,NA,A
fsv44,Nelson Weiper,1,fsv,fsvj,NA,NA,A
tsg1,Oliver Baumann,1,tsg,scfj,NA,NA,D
tsg3,Pavel Kaderabek,1,tsg,spra,NA,NA,F
tsg4,Ermin Bicakcic,1,tsg,vfbj,NA,NA,B
tsg5,Ozan Kabak,1,tsg,gala,NA,NA,I
tsg6,Grischa Proemel,1,tsg,tsgj,NA,NA,C
tsg7,Jacob Bruun Larsen,1,tsg,bvbj,NA,NA,F
tsg8,Dennis Geiger,1,tsg,tsgj,NA,NA,E
tsg9,Ihlas Bebou,1,tsg,for,NA,NA,F
tsg10,Munas Dabbur,1,tsg,macc,NA,NA,E
tsg11,Angelino,1,tsg,manc,NA,NA,I
tsg13,Angelo Stiller,1,tsg,fcbj,NA,NA,C
tsg14,Christoph Baumgartner,1,tsg,tsgj,NA,NA,G
tsg16,Sebastian Rudy,1,tsg,vfbj,NA,NA,E
tsg17,Thomas Delaney,1,tsg,kop,NA,NA,H
tsg19,Kasper Dolberg,1,tsg,aja,NA,NA,G
tsg20,Finn Ole Becker,1,tsg,stp,NA,NA,A
tsg22,Kevin Vogt,1,tsg,bocj,NA,NA,F
tsg23,John Anthony Brooks,1,tsg,bscj,NA,NA,E
tsg25,Kevin Akpoguma,1,tsg,ksc,NA,NA,E
tsg26,Eduardo Quaresma,1,tsg,spo,NA,NA,C
tsg27,Andrej Kramaric,1,tsg,zag,NA,NA,I
tsg29,Robert Skov,1,tsg,silk,NA,NA,E
tsg34,Stanley Nsoki,1,tsg,psg,NA,NA,E
tsg35,Muhammed Damar,1,tsg,sgej,NA,NA,A
tsg39,Tom Bischof,1,tsg,tsgj,NA,NA,A
tsg40,Umut Tohumcu,1,tsg,tsgj,NA,NA,A
tsg44,Fisnik Asllani,1,tsg,fcuj,NA,NA,A
bsc1,Oliver Christensen,1,bsc,obk,NA,NA,B
bsc2,Peter Pekarik,1,bsc,dubn,NA,NA,B
bsc3,Augustin Rogel,1,bsc,naci,NA,NA,B
bsc5,Filip Uremovic,1,bsc,cib,NA,NA,C
bsc6,Tolga Cigerci,1,bsc,wobj,NA,NA,B
bsc7,Florian Niederlechner,1,bsc,eber,NA,NA,D
bsc8,Suat Serdar,1,bsc,fsvj,NA,NA,G
bsc10,Jean Paul Boetius,1,bsc,feye,NA,NA,C
bsc14,Dodi Lukebakio,1,bsc,and,NA,NA,G
bsc16,Jonjoe Kenny,1,bsc,eve,NA,NA,E
bsc17,Maximilian Mittelstaedt,1,bsc,bscj,NA,NA,E
bsc18,Wilfried Kanga,1,bsc,psg,NA,NA,B
bsc19,Stefan Jovetic,1,bsc,part,NA,NA,H
bsc20,Marc Oliver Kempf,1,bsc,sgej,NA,NA,D
bsc21,Marvin Plattenhardt,1,bsc,fcn,NA,NA,F
bsc23,Marco Richter,1,bsc,fcaj,NA,NA,D
bsc24,Jessic Ngankam,1,bsc,bscj,NA,NA,A
bsc27,Kevin Prince Boateng,1,bsc,bscj,NA,NA,G
bsc29,Lucas Tousart,1,bsc,vafc,NA,NA,G
bsc31,Marton Dardai,1,bsc,bscj,NA,NA,C
bsc34,Ivan Sunjic,1,bsc,zag,NA,NA,C
bsc39,Derry Scherhant,1,bsc,bscj,NA,NA,A
bsc40,Chidera Ejuke,1,bsc,suco,NA,NA,D
bsc42,Julian Eitschberger,1,bsc,bscj,NA,NA,A
fca1,Rafal Gikiewicz,1,fca,ols,NA,NA,A
fca2,Robert Gumny,1,fca,lech,NA,NA,B
fca3,Mads Pedersen,1,fca,fcno,NA,NA,B
fca4,Reece Oxford,1,fca,whu,NA,NA,E
fca5,Tobias Strobl,1,fca,mu60,NA,NA,D
fca6,Jeffrey Gouweleeuw,1,fca,hee,NA,NA,E
fca7,Dion Beljo,1,fca,cib,NA,NA,C
fca8,Renato Veiga,1,fca,spo,NA,NA,A
fca9,Ermedin Demirovic,1,fca,rblj,NA,NA,E
fca10,Arne Maier,1,fca,bscj,NA,NA,G
fca11,Mergim Berisha,1,fca,rbs,NA,NA,D
fca13,Elvis Rexhbecaj,1,fca,wobj,NA,NA,D
fca14,Julian Baumgartlinger,1,fca,mu60,NA,NA,C
fca16,Ruben Vargas,1,fca,luz,NA,NA,E
fca17,Noah Sarenren Bazee,1,fca,han,NA,NA,A
fca19,Felix Udokhai,1,fca,mu60,NA,NA,F
fca20,Daniel Caligiuri,1,fca,scfj,NA,NA,C
fca22,Iago,1,fca,inte,NA,NA,C
fca23,Maximilian Bauer,1,fca,fur,NA,NA,B
fca24,Fredrik Jensen,1,fca,twen,NA,NA,B
fca27,Arne Engels,1,fca,brue,NA,NA,A
fca28,Andre Hahn,1,fca,hsv,NA,NA,D
fca30,Niklas Dorsch,1,fca,fcbj,NA,NA,D
fca38,David Colina,1,fca,asm,NA,NA,A
fca39,Benjamin Leneis,1,fca,fcaj,NA,NA,A
fca40,Tomas Koubek,1,fca,kral,NA,NA,C
fca42,Aaron Zehnter,1,fca,fcaj,NA,NA,A
fca45,Kelvin Yeboah,1,fca,goz,NA,NA,C
fca48,Irvin Cardona,1,fca,asm,NA,NA,D
vfb1,Florian Mueller,1,vfb,fsvj,NA,NA,D
vfb2,Waldemar Anton,1,vfb,han,NA,NA,E
vfb3,Wataru Endo,1,vfb,shb,NA,NA,D
vfb4,Josha Vagnoman,1,vfb,hsv,NA,NA,B
vfb5,Konstantinos Mavropanos,1,vfb,smy,NA,NA,F
vfb7,Tanguy Coulibaly,1,vfb,psg,NA,NA,C
vfb8,Enzo Millot,1,vfb,asm,NA,NA,A
vfb9,Serhou Guirassy,1,vfb,stl,NA,NA,E
vfb10,Tiago Tomas,1,vfb,spo,NA,NA,C
vfb11,Juan Jose Perea,1,vfb,prt,NA,NA,A
vfb14,Silas Katompa Mvumpa,1,vfb,pfc,NA,NA,G
vfb15,Pascal Stenzel,1,vfb,bvbj,NA,NA,C
vfb16,Atakan Karazor,1,vfb,bocj,NA,NA,B
vfb17,Genki Haraguchi,1,vfb,ura,NA,NA,B
vfb20,Luca Pfeiffer,1,vfb,stk,NA,NA,B
vfb21,Hiroki Ito,1,vfb,iwa,NA,NA,C
vfb22,Chris Fuehrich,1,vfb,rwo,NA,NA,B
vfb23,Dan Axel Zagadou,1,vfb,psg,NA,NA,I
vfb24,Borna Sosa,1,vfb,zag,NA,NA,G
vfb25,Lilian Egloff,1,vfb,vfbj,NA,NA,A
vfb27,Alou Kuol,1,vfb,cco,NA,NA,A
vfb28,Nikolas Nartey,1,vfb,kop,NA,NA,A
vfb31,Gil Dias,1,vfb,asm,NA,NA,B
vfb33,Fabian Bredlow,1,vfb,rblj,NA,NA,A
vfb34,Omer Beyaz,1,vfb,fen,NA,NA,A
vfb36,Laurin Ulrich,1,vfb,vfbj,NA,NA,A
vfb37,Antonis Aidonis,1,vfb,vfbj,NA,NA,A
vfb39,Thomas Kastanaras,1,vfb,vfbj,NA,NA,A
boc1,Manuel Riemann,1,boc,burg,NA,NA,A
boc2,Cristian Gamboa,1,boc,mli,NA,NA,A
boc3,Danilo Soares,1,boc,lust,NA,NA,A
boc4,Erhan Masovic,1,boc,cuk,NA,NA,B
boc5,Jacek Goralski,1,boc,zaw,NA,NA,B
boc6,Patrick Osterhage,1,boc,bvbj,NA,NA,A
boc7,Kevin Stoeger,1,boc,vfbj,NA,NA,C
boc8,Anthony Losilla,1,boc,asse,NA,NA,A
boc9,Simon Zoller,1,boc,ksc,NA,NA,B
boc10,Philipp Foerster,1,boc,vfbj,NA,NA,B
boc11,Takuma Asano,1,boc,yok,NA,NA,B
boc16,Konstantinos Stafylidis,1,boc,paok,NA,NA,B
boc17,Gerrit Holtmann,1,boc,svwj,NA,NA,B
boc18,Jordi Osei Tutu,1,boc,ars,NA,NA,A
boc20,Ivan Ordets,1,boc,shak,NA,NA,B
boc21,Michael Esser,1,boc,habi,NA,NA,A
boc22,Christopher Antwi Adjei,1,boc,hern,NA,NA,A
boc23,Saidy Janko,1,boc,manu,NA,NA,B
boc24,Vasilios Lampropoulos,1,boc,olpi,NA,NA,A
boc28,Pierre Kunde,1,boc,atm,NA,NA,D
boc29,Moritz Broschinski,1,boc,cott,NA,NA,A
boc30,Dominique Heintz,1,boc,fck,NA,NA,D
boc31,Keven Schlotterbeck,1,boc,kirc,NA,NA,D
boc33,Philipp Hofmann,1,boc,gelj,NA,NA,B
boc35,Silvere Ganvoula,1,boc,anne,NA,NA,B
gel1,Ralf Faehrmann,1,gel,gelj,NA,NA,E
gel2,Thomas Ouwejan,1,gel,alk,NA,NA,B
gel3,Leo Greiml,1,gel,stpo,NA,NA,B
gel4,Maya Yoshida,1,gel,nag,NA,NA,C
gel5,Sepp van den Berg,1,gel,zwo,NA,NA,C
gel6,Tom Krauß,1,gel,rblj,NA,NA,C
gel8,Danny Latza,1,gel,gelj,NA,NA,C
gel9,Simon Terodde,1,gel,duis,NA,NA,B
gel10,Rodrigo Zalazar,1,gel,mala,NA,NA,B
gel11,Marius Buelter,1,gel,muns,NA,NA,B
gel13,Alexander Schwolow,1,gel,scfj,NA,NA,D
gel15,Timothee Kolodziejczak,1,gel,len,NA,NA,C
gel18,Jere Uronen,1,gel,tps,NA,NA,B
gel19,Ken Karaman,1,gel,tsgj,NA,NA,B
gel20,Tim Skarke,1,gel,heid,NA,NA,A
gel21,Niklas Tauer,1,gel,fsvj,NA,NA,A
gel23,Mehmet Aydin,1,gel,gelj,NA,NA,B
gel24,Dominick Drexler,1,gel,levj,NA,NA,B
gel25,Moritz Jenz,1,gel,ful,NA,NA,B
gel26,Michael Frey,1,gel,ybb,NA,NA,C
gel27,Cedric Brunner,1,gel,fcz,NA,NA,B
gel29,Tobias Mohr,1,gel,aaa,NA,NA,A
