ID,Name,Typ,Verein,Jugendverein,Land,Am,MW
rbl9 ,Yussuf Poulsen,1,rbl,lyn,,,I
rbl10,Emil Forsberg,1,rbl,sun,,,H
rbl11,Timo Werner,1,rbl,vfbj,,,L
rbl13,Orjan Nyland,1,rbl,hoed,,,B
rbl16,Lukas Klostermann,1,rbl,bocj,,,I
rbl17,Dominik Szoboszlai,1,rbl,rbs,,,I
rbl18,Christopher Nkunku,1,rbl,psg,,,L
rbl19,Andre Silva,1,rbl,prt,,,J
rbl21,Janis Blaswich,1,rbl,bmgj,,,A
rbl22,David Raum,1,rbl,fur,,,H
rbl23,Marcel Halstenberg,1,rbl,han,,,G
rbl24,Xaver Schlager,1,rbl,rbs,,,H
rbl25,Sanoussy Ba,1,rbl,rblj,,,A
rbl27,Konrad Laimer,1,rbl,rbs,,,H
rbl32,Josko Gvardiol,1,rbl,zag,,,L
rbl37,Abdou Diallo,1,rbl,asm,,,I
rbl39,Benjamin Henrichs,1,rbl,levj,,,F
rbl44,Kevin Kampl,1,rbl,levj,,,G
bvb1,Gregor Kobel,1,bvb,gcz,,,G
bvb2,Mateu Morey,1,bvb,bar,,,C
bvb4,Nico Schlotterbeck,1,bvb,scfj,,,I
bvb6,Salih Oezcan,1,bvb,koej,,,F
bvb7,Giovanni Reyna,1,bvb,nyfc,,,J
bvb8,Mahmoud Dahoud,1,bvb,bmgj,,,F
bvb9,Sebastien Haller,1,bvb,aux,,,J
bvb11,Marco Reus,1,bvb,rwa,,,J
bvb13,Raphael Guerreiro,1,bvb,caen,,,I
bvb14,Nico Schulz,1,bvb,bscj,,,G
bvb15 ,Mats Hummels,1,bvb,fcbj,,,K
bvb17,Marius Wolf,1,bvb,mu60,,,D
bvb18,Youssoufa Moukoko,1,bvb,bvbj,,,H
bvb19,Julian Brandt,1,bvb,wobj,,,J
bvb20,Anthony Modeste,1,bvb,niz,,,F
bvb21,Donyell Malen,1,bvb,ars,,,H
bvb22,Jude Bellingham,1,bvb,bir,,,L
bvb23,Emre Can,1,bvb,fcbj,,,I
bvb24,Thomas Meunier,1,bvb,rev,,,I
bvb25,Niklas Suele,1,bvb,tsgj,,,K
bvb26,Julian Ryerson,1,bvb,vik,,,C
bvb27,Karim Adeyemi,1,bvb,uha,,,I
bvb30,Felix Passlack,1,bvb,bvbj,,,B
bvb33,Alexander Meyer,1,bvb,hsv,,,A
bvb35,Marcel Lotka,1,bvb,levj,,,A
bvb36,Tom Rothe,1,bvb,bvbj,,,B
bvb43,Jamie Bynoe Gittens,1,bvb,bvbj,,,D
bvb47,Antonios Papadopoulos,1,bvb,vfra,,,A
scf1,Benjamin Uphoff,1,scf,burg,,,A
scf3,Philipp Lienhart,1,scf,rma,,,G
scf5,Manuel Gulde,1,scf,tsgj,,,B
scf7,Jonathan Schmid,1,scf,scfj,,,C
scf8,Maximilian Eggestein,1,scf,svwj,,,H
scf9,Lucas Hoeler,1,scf,blum,,,C
scf11,Daniel Kofi Kyereh,1,scf,have,,,D
scf14,Yannik Keitel,1,scf,scfj,,,B
scf17,Lukas Kuebler,1,scf,bonn,,,B
scf18,Nils Petersen,1,scf,czj,,,E
scf22,Roland Sallai,1,scf,pus,,,F
scf23,Robert Wagner,1,scf,scfj,,,A
scf25,Kiliann Sildillia,1,scf,met,,,D
scf26,Mark Flekken,1,scf,aaa,,,C
scf27,Nicolas Hoefler,1,scf,scfj,,,B
scf28,Matthias Ginter,1,scf,scfj,,,I
scf29,Woo Yeong Jeong,1,scf,fcbj,,,C
scf30,Christian Guenter,1,scf,scfj,,,E
scf32,Vincenzo Grifo,1,scf,ksc,,,E
scf33,Noah Weisshaupt,1,scf,scfj,,,B
scf38,Michael Gregoritsch,1,scf,svka,,,F
scf42,Ritsu Doan,1,scf,gamb,,,F
sge1,Kevin Trapp,1,sge,fck,,,E
sge2,Evan N Dicka,1,sge,aux,,,I
sge5,Hrvoje Smolcic,1,sge,rij,,,B
sge6,Kristijan Jakic,1,sge,spli,,,D
sge8,Djibril Sow,1,sge,fcz,,,G
sge9,Randal Kolo Muani,1,sge,nan,,,I
sge11,Faride Alidou,1,sge,hsv,,,A
sge15,Daichi Kamada,1,sge,hhs,,,H
sge17,Sebastian Rode,1,sge,off,,,D
sge18,Almamy Toure,1,sge,asm,,,D
sge19,Rafael Borre,1,sge,cal,,,F
sge20,Makoto Hasebe,1,sge,fhs,,,B
sge21,Lucas Alario,1,sge,cac,,,F
sge22,Timothy Chandler,1,sge,sgej,,,B
sge24,Aurelio Buta,1,sge,ben,,,C
sge25,Christopher Lenz,1,sge,bmgj,,,B
sge26,Junior Dina Ebimbe,1,sge,psg,,,C
sge27,Mario Goetze,1,sge,bvbj,,,K
sge28,Marcel Wenig,1,sge,fcbj,,,A
sge29,Jesper Lindstrom,1,sge,bro,,,H
sge31,Jens Grahl,1,sge,stk,,,A
sge32,Philipp Max,1,sge,gelj,,,F
sge35 ,Tuta,1,sge,saop,,,E
sge36,Ansgar Knauff,1,sge,bvbj,,,D
sge40,Diant Ramaj,1,sge,heid,,,A
wob1,Koen Casteels ,1,wob,krc,,,E
wob2,Kilian Fischer,1,wob,mu60,,,A
wob3,Sebastiaan Bornauw,1,wob,and,,,E
wob4,Maxence Lacroix,1,wob,soc,,,H
wob5,Micky van de Veen,1,wob,vol,,,D
wob6,Paulo Otavio,1,wob,atpr,,,D
wob7,Luca Waldschmidt,1,wob,sgej,,,G
wob10,Lukas Nmecha,1,wob,manc,,,F
wob12,Pavao Pervan,1,wob,twl,,,A
wob16,Jakub Kaminski,1,wob,lech,,,D
wob20,Ridle Baku,1,wob,fsvj,,,G
wob22,Felix Nmecha,1,wob,manc,,,B
wob23,Jonas Wind,1,wob,kop,,,E
wob27,Maximilian Arnold,1,wob,wobj,,,F
wob29,Joshua Guilavogui,1,wob,asse,,,E
wob31,Yannik Gerhardt,1,wob,koej,,,E
wob32,Mattias Svanberg,1,wob,maff,,,E
wob33,Omar Marmoush,1,wob,wad,,,C
wob38,Bartol Franjic,1,wob,zag,,,C
wob39,Patrick Wimmer,1,wob,awie,,,D
wob40,Kevin Paredes,1,wob,dcu,,,B
bmg1,Jonas Omlin,1,bmg,luz,,,D
bmg3,Ko Itakura,1,bmg,kaw,,,E
bmg4,Mamadou Doucoure,1,bmg,psg,,,A
bmg5,Marvin Friedrich,1,bmg,gelj,,,D
bmg6,Christoph Kramer,1,bmg,levj,,,E
bmg7,Patrick Herrmann,1,bmg,bmgj,,,E
bmg8,Julian Weigl,1,bmg,mu60,,,H
bmg10,Marcus Thuram,1,bmg,soc,,,I
bmg11,Hannes Wolf,1,bmg,rbs,,,E
bmg13,Lars Stindl,1,bmg,ksc,,,F
bmg14,Alassane Plea,1,bmg,ol,,,I
bmg17,Manu Kone,1,bmg,tou,,,G
bmg18,Stefan Lainer,1,bmg,rbs,,,F
bmg19,Nathan Ngoumou,1,bmg,tou,,,C
bmg20,Luca Netz,1,bmg,bscj,,,C
bmg21,Tobias Sippel,1,bmg,fck,,,B
bmg23,Jonas Hofmann,1,bmg,tsgj,,,F
bmg24,Tony Jantschke,1,bmg,bmgj,,,D
bmg25,Ramy Bensebaini,1,bmg,pac,,,G
bmg29,Joe Scally,1,bmg,nyfc,,,E
bmg30,Nico Elvedi,1,bmg,fcz,,,I
bmg32,Florian Neuhaus,1,bmg,mu60,,,I
bmg34 ,Conor Noss,1,bmg,bmgj,,,A
bmg38,Yvandro Borges Sanches,1,bmg,bmgj,,,A
bmg41,Jan Olschowsky,1,bmg,bmgj,,,A
lev1,Lukas Hradecky,1,lev,tps,,,E
lev3,Piero Hincapie,1,lev,ind,,,G
lev4,Jonathan Tah,1,lev,hsv,,,I
lev5,Mitchell Bakker,1,lev,aja,,,E
lev6,Odilon Koussounou,1,lev,asec,,,G
lev8,Robert Andrich,1,lev,bscj,,,E
lev9 ,Sardar Azmoun,1,lev,sep,,,G
lev10,Kerem Demirbay,1,lev,bvbj,,,I
lev11,Nadiem Amiri,1,lev,tsgj,,,G
lev12 ,Edmond Tapsoba,1,lev,leix,,,I
lev14,Patrik Schick,1,lev,spra,,,J
lev17,Callum Hudson Odoi,1,lev,cfc,,,I
lev19,Moussa Diaby,1,lev,psg,,,K
lev20,Charles Aranguiz,1,lev,cob,,,E
lev21,Amine Adli,1,lev,tou,,,E
lev22,Daley Sinkgraven,1,lev,hee,,,D
lev23,Adam Hlozek,1,lev,spra,,,F
lev24,Timothy Fosu Mensah,1,lev,manu,,,C
lev25 ,Exequiel Palacios,1,lev,rivp,,,G
lev27,Florian Wirtz,1,lev,koej,,,L
lev30,Jeremie Frimpong,1,lev,manc,,,G
lev32 ,Ayman Azhil,1,lev,levj,,,A
lev38,Karim Bellarabi,1,lev,ebs,,,G
lev40,Andrey Lunev,1,lev,tor,,,E
svw1,Jiri Pavlenka,1,svw,ostr,,,E
svw3,Anthony Jung,1,svw,sgej,,,A
svw4,Niklas Stark,1,svw,fcn,,,F
svw5,Amos Pieper,1,svw,bvbj,,,C
svw6,Jens Stage,1,svw,brab,,,B
svw7,Marvin Ducksch,1,svw,bvbj,,,B
svw8,Mitchell Weiser,1,svw,koej,,,E
svw10,Leonardo Bittencourt,1,svw,cott,,,C
svw11 ,Niclas Fuellkrug,1,svw,svwj,,,E
svw13,Milos Veljkovic,1,svw,tot,,,E
svw17,Maximilian Philipp,1,svw,scf,,,F
svw19,Dikeni Salifou,1,svw,fcaj,,,A
svw20,Romano Schmid,1,svw,graz,,,B
svw21,Eren Dinkci,1,svw,svwj,,,A
svw22,Niklas Schmidt,1,svw,svwj,,,A
svw26,Lee Buchanan,1,svw,der,,,B
svw27,Felix Agu,1,svw,osna,,,A
svw28,Ilia Gruev,1,svw,svwj,,,B
svw30,Michael Zetterer,1,svw,uha,,,A
svw32,Marco Friedl,1,svw,fcbj,,,C
svw34,Jean Manuel Mbom,1,svw,svwj,,,B
svw36,Christian Gross,1,svw,hsv,,,A
svw39,Fabio Chiarodia,1,svw,svwj,,,A
koe1,Timo Horn,1,koe,koej,,,E
koe2,Benno Schmitz,1,koe,fcbj,,,B
koe3,Kristian Pedersen,1,koe,beif,,,B
koe4,Timo Huebers,1,koe,han,,,C
koe5,Nikola Soldo,1,koe,zapr,,,A
koe6,Eric Martel,1,koe,rblj,,,B
koe7,Dejan Ljubicic,1,koe,rwie,,,D
koe8,Denis Huseinbasic,1,koe,off,,,A
koe9,Sebastian Andersson,1,koe,ange,,,C
koe11,Florian Kainz,1,koe,graz,,,B
koe13,Marc Uth,1,koe,koej,,,G
koe14,Jonas Hector,1,koe,auer,,,F
koe15,Luca Kilian,1,koe,bvbj,,,B
koe17,Kingsley Schindler,1,koe,han,,,B
koe19,Dimitrios Limnios,1,koe,atro,,,B
koe20,Marvin Schwaebe,1,koe,sgej,,,B
koe21,Steffen Tigges,1,koe,os,,,B
koe23,Sargis Adamyan,1,koe,hro,,,B
koe24,Julian Chabot,1,koe,rblj,,,A
koe25,Tim Lemperle,1,koe,koej,,,A
koe27,Davie Selke,1,koe,svwj,,,F
koe28,Ellyes Skhiri,1,koe,mont,,,E
koe29,Jan Thielmann,1,koe,koej,,,D
koe33,Florian Dietz,1,koe,czj,,,A
koe37,Linton Mai,1,koe,han,,,D
koe47,Mathias Olesen,1,koe,koej,,,A
koe48,Justin Diehl,1,koe,koej,,,A
fsv1,Finn Dahmen,1,fsv,fsvj,,,A
fsv3,Aaron Martin,1,fsv,espb,,,F
fsv4,Aymen Barkok,1,fsv,sgej,,,B
fsv5,Maxim Leitsch,1,fsv,bocj,,,B
fsv6 ,Anton Stach,1,fsv,osna,,,E
fsv7,Jae Sung Lee,1,fsv,kun,,,B
fsv8,Leandro Barreiro,1,fsv,fsvj,,,E
fsv9,Karim Onisiwo,1,fsv,twl,,,B
fsv11,Marcus Ingvartsen,1,fsv,fcno,,,B
fsv16,Stefan Bell,1,fsv,fsvj,,,C
fsv17,Ludovic Ajourque,1,fsv,asco,,,F
fsv19,Anthony Caci,1,fsv,stra,,,C
fsv20,Edmilson Fernandes,1,fsv,fcsi,,,D
fsv21,Danny da Costa,1,fsv,levj,,,E
fsv25,Andreas Hanche Olsen,1,fsv,stab,,,B
fsv27,Robin Zentner,1,fsv,fsvj,,,B
fsv29,Jonathan Burkardt,1,fsv,fsvj,,,F
fsv30,Silvan Widmer,1,fsv,aar,,,D
fsv31,Dominik Kohr,1,fsv,levj,,,D
fsv36,Marlon Mustapha,1,fsv,fsvj,,,A
fsv37,Delano Burgzorg,1,fsv,graa,,,A
fsv42,Alexander Hack,1,fsv,mu60,,,B
fsv43,Brajan Gruda,1,fsv,fsvj,,,A
fsv44,Nelson Weiper,1,fsv,fsvj,,,A
tsg1,Oliver Baumann,1,tsg,scfj,,,D
tsg3,Pavel Kaderabek,1,tsg,spra,,,F
tsg4,Ermin Bicakcic,1,tsg,vfbj,,,B
tsg5,Ozan Kabak,1,tsg,gala,,,I
tsg6,Grischa Proemel,1,tsg,tsgj,,,C
tsg7,Jacob Bruun Larsen,1,tsg,bvbj,,,F
tsg8,Dennis Geiger,1,tsg,tsgj,,,E
tsg9,Ihlas Bebou,1,tsg,for,,,F
tsg10,Munas Dabbour,1,tsg,macc,,,E
tsg11,Angelino,1,tsg,manc,,,I
tsg13,Angelo Stiller,1,tsg,fcbj,,,C
tsg14,Christoph Baumgartner,1,tsg,tsgj,,,G
tsg16,Sebastian Rudy,1,tsg,vfbj,,,E
tsg17,Thomas Delaney,1,tsg,kop,,,H
tsg19,Kasper Dolberg,1,tsg,aja,,,G
tsg20,Finn Ole Becker,1,tsg,stp,,,A
tsg22,Kevin Vogt,1,tsg,bocj,,,F
tsg23,John Anthony Brooks,1,tsg,bscj,,,E
tsg25,Kevin Akpoguma,1,tsg,ksc,,,E
tsg26,Eduardo Quaresma,1,tsg,spo,,,C
tsg27,Andrej Kramaric,1,tsg,zag,,,I
tsg29,Robert Skov,1,tsg,silk,,,E
tsg34,Stanley Nsoki,1,tsg,psg,,,E
tsg35,Muhammed Damar,1,tsg,sgej,,,A
tsg39,Tom Bischof,1,tsg,tsgj,,,A
tsg40,Umut Tohumcu,1,tsg,tsgj,,,A
tsg44,Fisnik Asllani,1,tsg,fcuj,,,A
bsc1,Oliver Christensen,1,bsc,obk,,,B
bsc2,Peter Pekarik,1,bsc,dubn,,,B
bsc3,Augustin Rogel,1,bsc,naci,,,B
bsc5,Filip Uremovic,1,bsc,cib,,,C
bsc6,Tolga Cigerci,1,bsc,wobj,,,B
bsc7,Florian Niederlechner,1,bsc,eber,,,D
bsc8,Suat Serdar,1,bsc,fsvj,,,G
bsc10,Jean Paul Boetius,1,bsc,feye,,,C
bsc14,Dodi Lukebakio,1,bsc,and,,,G
bsc16,Jonjoe Kenny,1,bsc,eve,,,E
bsc17,Maximilian Mittelstädt,1,bsc,bscj,,,E
bsc18,Wilfried Kanga,1,bsc,psg,,,B
bsc19,Stefan Jovetic,1,bsc,part,,,H
bsc20,Marc Oliver Kempf,1,bsc,sgej,,,D
bsc21,Marvin Plattenhardt,1,bsc,fcn,,,F
bsc23,Marco Richter,1,bsc,fcaj,,,D
bsc24,Jessic Ngankam,1,bsc,bscj,,,A
bsc27,Kevin Prince Boateng,1,bsc,bscj,,,G
bsc29,Lucas Tousart,1,bsc,vafc,,,G
bsc31,Marton Dardai,1,bsc,bscj,,,C
bsc34,Ivan Sunjic,1,bsc,zag,,,C
bsc39,Derry Scherhant,1,bsc,bscj,,,A
bsc40,Chidera Ejuke,1,bsc,suco,,,D
bsc42,Julian Eitschberger,1,bsc,bscj,,,A
fca1,Rafal Gikiewicz,1,fca,ols,,,A
fca2,Robert Gumny,1,fca,lech,,,B
fca3,Mads Pedersen,1,fca,fcno,,,B
fca4,Reece Oxford,1,fca,whu,,,E
fca5,Tobias Strobl,1,fca,mu60,,,D
fca6,Jeffrey Gouweleeuw,1,fca,hee,,,E
fca7,Dion Beljo,1,fca,cib,,,C
fca8,Renato Veiga,1,fca,spo,,,A
fca9,Ermedin Demirovic,1,fca,rblj,,,E
fca10,Arne Maier,1,fca,bscj,,,G
fca11,Mergim Berisha,1,fca,rbs,,,D
fca13,Elvis Rexhbecaj,1,fca,wobj,,,D
fca14,Julian Baumgartlinger,1,fca,mu60,,,C
fca16,Ruben Vargas,1,fca,luz,,,E
fca17,Noah Sarenren Bazee,1,fca,han,,,A
fca19,Felix Udokhai,1,fca,mu60,,,F
fca20,Daniel Caligiuri,1,fca,scfj,,,C
fca22,Iago,1,fca,inte,,,C
fca23,Maximilian Bauer,1,fca,fur,,,B
fca24,Fredrik Jensen,1,fca,twen,,,B
fca27,Arne Engels,1,fca,brue,,,A
fca28,Andre Hahn,1,fca,hsv,,,D
fca30,Niklas Dorsch,1,fca,fcbj,,,D
fca38,David Colina,1,fca,asm,,,A
fca39,Benjamin Leneis,1,fca,fcaj,,,A
fca40,Tomas Koubek,1,fca,kral,,,C
fca42,Aaron Zehnter,1,fca,fcaj,,,A
fca45,Kelvin Yeboah,1,fca,goz,,,C
fca48,Irvin Cardona,1,fca,asm,,,D
vfb1,Florian Mueller,1,vfb,fsvj,,,D
vfb2,Waldemar Anton,1,vfb,han,,,E
vfb3,Wataru Endo,1,vfb,shb,,,D
vfb4,Josha Vagnoman,1,vfb,hsv,,,B
vfb5,Konstantinos Mavropanos,1,vfb,smy,,,F
vfb7,Tanguy Coulibaly,1,vfb,psg,,,C
vfb8,Enzo Millot,1,vfb,asm,,,A
vfb9,Serhou Guirassy,1,vfb,stl,,,E
vfb10,Tiago Tomas,1,vfb,spo,,,C
vfb11,Juan Jose Perea,1,vfb,prt,,,A
vfb14,Silas Katompa Mvumpa,1,vfb,pfc,,,G
vfb15,Pascal Stenzel,1,vfb,bvbj,,,C
vfb16,Atakan Karazor,1,vfb,bocj,,,B
vfb17,Genki Haraguchi,1,vfb,ura,,,B
vfb20,Luca Pfeiffer,1,vfb,stk,,,B
vfb21,Hiroki Ito,1,vfb,iwa,,,C
vfb22,Chris Fuehrich,1,vfb,rwo,,,B
vfb23,Dan Axel Zagadou,1,vfb,psg,,,I
vfb24,Borna Sosa,1,vfb,zag,,,G
vfb25,Lilian Egloff,1,vfb,vfbj,,,A
vfb27,Alou Kuol,1,vfb,cco,,,A
vfb28,Nikolas Nartey,1,vfb,kop,,,A
vfb31,Gil Dias,1,vfb,asm,,,B
vfb33,Fabian Bredlow,1,vfb,rblj,,,A
vfb34,Omer Beyaz,1,vfb,fen,,,A
vfb36,Laurin Ulrich,1,vfb,vfbj,,,A
vfb37,Antonis Aidonis,1,vfb,vfbj,,,A
vfb39,Thomas Kastanaras,1,vfb,vfbj,,,A
boc1,Manuel Riemann,1,boc,burg,,,A
boc2,Cristian Gamboa,1,boc,mli,,,A
boc3,Danilo Soares,1,boc,lust,,,A
boc4,Erhan Masovic,1,boc,cuk,,,B
boc5,Jacek Goralski,1,boc,zaw,,,B
boc6,Patrick Osterhage,1,boc,bvbj,,,A
boc7,Kevin Stoeger,1,boc,vfbj,,,C
boc8,Anthony Losilla,1,boc,asse,,,A
boc9,Simon Zoller,1,boc,ksc,,,B
boc10,Philipp Foerster,1,boc,vfbj,,,B
boc11,Takuma Asano,1,boc,yok,,,B
boc16,Konstantinos Stafylidis,1,boc,paok,,,B
boc17,Gerrit Holtmann,1,boc,svwj,,,B
boc18,Jordi Osei Tutu,1,boc,ars,,,A
boc20,Ivan Ordets,1,boc,shak,,,B
boc21,Michael Esser,1,boc,habi,,,A
boc22,Christopher Antwi Adjei,1,boc,hern,,,A
boc23,Saidy Janko,1,boc,manu,,,B
boc24,Vasilios Lampropoulos,1,boc,olpi,,,A
boc28,Pierre Kunde,1,boc,atm,,,D
boc29,Moritz Broschinski,1,boc,cott,,,A
boc30,Dominique Heintz,1,boc,fck,,,D
boc31,Keven Schlotterbeck,1,boc,kirc,,,D
boc33,Philipp Hofmann,1,boc,gelj,,,B
boc35,Silvere Ganvoula,1,boc,anne,,,B
gel1,Ralf Faehrmann,1,gel,gelj,,,E
gel2,Thomas Ouwejan,1,gel,alk,,,B
gel3,Leo Greiml,1,gel,stpo,,,B
gel4,Maya Yoshida,1,gel,nag,,,C
gel5,Sepp van den Berg,1,gel,zwo,,,C
gel6,Tom Krauß,1,gel,rblj,,,C
gel8,Danny Latza,1,gel,gelj,,,C
gel9,Simon Terodde,1,gel,duis,,,B
gel10,Rodrigo Zalazar,1,gel,mala,,,B
gel11,Marius Buelter,1,gel,muns,,,B
gel13,Alexander Schwolow,1,gel,scfj,,,D
gel15,Timothee Kolodziejczak,1,gel,len,,,C
gel18,Jere Uronen,1,gel,tps,,,B
gel19,Ken Karaman,1,gel,tsgj,,,B
gel20,Tim Skarke,1,gel,heid,,,A
gel21,Niklas Tauer,1,gel,fsvj,,,A
gel23,Mehmet Aydin,1,gel,gelj,,,B
gel24,Dominick Drexler,1,gel,levj,,,B
gel25,Moritz Jenz,1,gel,ful,,,B
gel26,Michael Frey,1,gel,ybb,,,C
gel27,Cedric Brunner,1,gel,fcz,,,B
gel29,Tobias Mohr,1,gel,aaa,,,A
gel30,Alex Kral,1,gel,slpr,,,D
gel33,Eder Balanta,1,gel,rivp,,,C
gel34,Michael Langer,1,gel,vfbj,,,A
gel35,Marcin Kaminski,1,gel,lech,,,B
gel37,Andreas Ivan,1,gel,stk,,,A
gel38,Siochiro Kozuki,1,gel,sang,,,A
gel40,Sebastian Polter,1,gel,wobj,,,A
gel41,Henning Matriciani,1,gel,lipp,,,A
bl ,Bundesliga,3,bl ,,GER,0,
vfb,VfB Stuttgart,2,vfb,,GER,0,
boc,VfL Bochum,2,boc,,GER,0,
gel ,FC Schalke 04,2,gel,,GER,0,
svw,SV Werder Bremen,2,svw,,GER,0,
bsc,Hertha BSC Berlin,2,bsc,,GER,0,
koe,1. FC Koeln,2,koe,,GER,0,
fca,FC Augsburg,2,fca,,GER,0,
fsv,1. FSV Mainz 05,2,fsv,,GER,0,
fcu,1. FC Union Berlin,2,fcu,,GER,0,
tsg,TSG 1899 Hoffenheim,2,tsg,,GER,0,
scf,SC Freiburg,2,scf,,GER,0,
wob,VfL Wolfsburg,2,wob,,GER,0,
bmg,Borussia Moenchengladbach,2,bmg,,GER,0,
sge,SG Eintracht Frankfurt,2,sge,,GER,0,
lev,Bayer 04 Leverkusen,2,lev,,GER,0,
rbl,Red Bull Leipzig,2,rbl,,GER,0,
bvb,Borussia Dortmund,2,bvb,,GER,0,
fcb,FC Bayern Muenchen,2,fcb,,GER,0,
fcbj,FC Bayern Jugend,2,fcb,,GER,0,
scfj,SC Freiburg Jugend,2,scf,,GER,0,
rblj,Red Bull Leipzig Jugend,2,rbl,,GER,0,
sgej,Eintracht Frankfurt Jugend,2,sge,,GER,0,
fcuj,Union Berlin Jugend,2,fcu,,GER,0,
bvbj,Borussia Dortmund Jugend,2,bvb,,GER,0,
wobj,VfL Wofsburg Jugend,2,wob,,GER,0,
bmgj,Moenchengladbach Jugend,2,bmg,,GER,0,
svwj,SV Werder Bremen Jugend,2,svw,,GER,0,
fsvj,FSV Mainz 05 Jugend,2,fsv,,GER,0,
tsgj,TSG 1899 Hoffenheim Jugend,2,tsg,,GER,0,
levj,Bayer 04 Leverkusen Jugend,2,lev,,GER,0,
koej,1. FC Koeln Jugend,2,koe,,GER,0,
fcaj,FC Augsburg Jugend,2,fca,,GER,0,
bscj,Hertha BSC Berlin Jugend,2,bsc,,GER,0,
vfbj,VfB Stuttgart Jugend,2,vfb,,GER,0,
bocj,VfL Bochum Jugend,2,boc,,GER,0,
gelj,FC Schalke 04 Jugend,2,gel,,GER,0,
han,Hannover 96,2,h96,,GER,0,
shb,Shonan Bellmare,2,shb,,JAP,0,
hsv,Hamburger SV,2,hsv,,GER,0,
smy,Apollon Smyrnis,2,smy,,GRE,0,
psg,Paris St. Germain,2,psg,,FRA,0,
asm,AS Monaco,2,asm,,FRA,0,
stl,Stade Laval,2,stl,,FRA,0,
spo,Sporting Lissabon,2,spo,,POR,0,
pfc,Paris FC,2,pfc,,FRA,0,
stk,SV Stuttgarter Kickers,2,stk,,GER,1,
iwa,Jubilo Iwata,2,iwa,,JAP,0,
rwo,Rot Weiß Oberhausen,2,rwo,,GER,1,
zag,Dinamo Zagreb,2,zag,,CRO,0,
cco,Central Coast,2,cco,,AUS,0,
kop,FC Kopenhagen,2,kop,,DEN,0,
fen,Fenerbahce Istanbul,2,fen,,TUR,0,
prt,FC Porto,2,prt,,POR,0,
vafc,Valenciennes FC,2,vafc,,FRA,0,
aja,Ajax Amsterdam,2,aja,,NED,0,
lil,LOSC Lille,2,lil,,FRA,0,
